Row Labels,Average of Density_of_Jobs_in_2013
"Gay Street, Baltimore, MD",75325
"Downtown, Baltimore, MD",57907.2
"Penn - Fallsway, Baltimore, MD",43650
"Little Italy, Baltimore, MD",31831
"McCulloh Homes, Baltimore, MD",29906
"Fells Point, Baltimore, MD",22531
"Remington, Baltimore, MD",12506
"Old Goucher, Baltimore, MD",12195
"Pleasant View Gardens, Baltimore, MD",11146
"Reisterstown Station, Baltimore, MD",7816
"Joseph Lee, Baltimore, MD",6666
"Burleith-Leighton, Baltimore, MD",6444
"Canton, Baltimore, MD",5735.25
"Cross Keys, Baltimore, MD",5635
"Riverside, Baltimore, MD",5532.5
"Baltimore, MD",5333.80303
"South Baltimore, Baltimore, MD",5066
"Hampden, Baltimore, MD",5039
"Perring Loch, Baltimore, MD",4952
"Lexington, Baltimore, MD",4817.5
"Central Park Heights, Baltimore, MD",4738.5
"Locust Point, Baltimore, MD",4633
"Baltimore Highlands, Baltimore, MD",4534
"Greenmount West, Baltimore, MD",4498
"Better Waverly, Baltimore, MD",4466
"Pigtown, Baltimore, MD",4428.5
"Violetville, Baltimore, MD",4064
"Darley Park, Baltimore, MD",3904
"East Baltimore Midway, Baltimore, MD",3880
"Belair - Edison, Baltimore, MD",3849.5
"Upton, Baltimore, MD",3753.6
"Woodberry, Baltimore, MD",3645
"Mill Hill, Baltimore, MD",3637
"Perkins Homes, Baltimore, MD",3624
"Mondawmin, Baltimore, MD",3565
"Upper Fells Point, Baltimore, MD",3535.566667
"Loch Raven, Baltimore, MD",3475
"Milton - Montford, Baltimore, MD",3227
"Mid-Charles, Baltimore, MD",3184
"Riverside Park, Baltimore, MD",3105
"Harwood, Baltimore, MD",3064
"Bolton Hill, Baltimore, MD",3032
"Poppleton, Baltimore, MD",3006.1
"Penn North, Baltimore, MD",2804
"Medford - Broening, Baltimore, MD",2761
"Hollins Market, Baltimore, MD",2536
"Morrell Park, Baltimore, MD",2511.5
"Fallstaff, Baltimore, MD",2435
"Lakeland, Baltimore, MD",2273
"Fifteenth Street, Baltimore, MD",2239
"Johnson Square, Baltimore, MD",2211
"Cherry Hill, Baltimore, MD",2126.133333
"Barclay, Baltimore, MD",2056
"Sandtown-Winchester, Baltimore, MD",1995.025
"Medfield, Baltimore, MD",1825
"Druid Heights, Baltimore, MD",1755
"Coppin Heights, Baltimore, MD",1753
"Patterson Park, Baltimore, MD",1683.333333
"Glen, Baltimore, MD",1628
"Berea, Baltimore, MD",1587.6
"Radnor - Winston, Baltimore, MD",1578
"Mount Washington, Baltimore, MD",1539
"Windsor Mill, Baltimore, MD",1519.975
"Edgecomb, Baltimore, MD",1506
"Mid-Govans, Baltimore, MD",1482
"Evergreen, Baltimore, MD",1459
"Curtis Bay, Baltimore, MD",1449
"Lauraville, Baltimore, MD",1391.35
"Mount Clare, Baltimore, MD",1317
"Langston Hughes, Baltimore, MD",1312
"Butchers Hill, Baltimore, MD",1306
"NW Community Action, Baltimore, MD",1273
"Lansdowne - Baltimore Highlands, Lansdowne, MD",1264.5
"Roland Park, Baltimore, MD",1248
"Bridgeview-Greenlawn, Baltimore, MD",1238
"Arlington, Baltimore, MD",1228
"Franklin Square, Baltimore, MD",1216
"Lansdowne - Baltimore Highlands, Halethorpe, MD",1215.5
"Dorchester, Baltimore, MD",1213
"Hanlon Longwood, Baltimore, MD",1088
"Glenham-Belford, Baltimore, MD",1021.5
"Irvington, Baltimore, MD",991.15
"Woodring, Baltimore, MD",959.8
"Bentalou-Smallwood, Baltimore, MD",956.5
"Frankford, Baltimore, MD",954.85
"O'Donnell Heights, Baltimore, MD",943.3
"Broadway East, Baltimore, MD",932.84
"Homeland, Baltimore, MD",880.6
"Ednor Gardens - Lakeside, Baltimore, MD",855.7333333
"Shipley Hill, Baltimore, MD",853.3
"Mosher, Baltimore, MD",824.1
"Yale Heights, Baltimore, MD",814
"Garwyn Oaks, Baltimore, MD",812.4
"Hillen, Baltimore, MD",811.9
"New Northwood, Baltimore, MD",778.6
"Brooklyn, Baltimore, MD",773.95
"Westgate, Baltimore, MD",734.5
"Oliver, Baltimore, MD",713.2
"Ramblewood, Baltimore, MD",665.9
"Cedmont, Baltimore, MD",661.4
"Midtown Edmondson, Baltimore, MD",658.1
"Saint Joseph's, Baltimore, MD",657.7
"North Harford Road, Baltimore, MD",650.15
"Winston - Govans, Baltimore, MD",607
"Gwynn Oak, Baltimore, MD",599.8075
"Cedonia, Baltimore, MD",573.6
"Westport, Baltimore, MD",569.3
"Woodbrook, Baltimore, MD",561
"Cross Country, Baltimore, MD",550.3
"Pratt Monroe, Baltimore, MD",541.3
"Rognel Heights, Baltimore, MD",530.2
"Walbrook, Baltimore, MD",529.8
"Lake Walker, Baltimore, MD",519.7
"Armistead Gardens, Baltimore, MD",516.4
"Park Circle, Baltimore, MD",506.7
"Allendale, Baltimore, MD",501.1
"Madison - Eastend, Baltimore, MD",491.7
"East Arlington, Baltimore, MD",486.3
"Waltherson, Baltimore, MD",450.25
"Idlewood, Baltimore, MD",439.1
"Reservoir Hill, Baltimore, MD",432.2
"Cold Springs, Baltimore, MD",408.2
"Rosemont, Baltimore, MD",366.8
"Cheswolde, Baltimore, MD",321.2
"Harlem Park, Baltimore, MD",310.8
"Parkside, Baltimore, MD",286.8
"Edmondson, Baltimore, MD",267
"Beechfield, Baltimore, MD",223.1
"Arcadia, Baltimore, MD",97.83
"Windsor Hills, Baltimore, MD",78.85
"West Forest Park, Baltimore, MD",18.97
"Baltimore County, MD",8.908
