tract,location,availability_of_jobs_in_2013
8031001702,"Central, Denver, CO",148450
8031002601,"Central, Denver, CO",85383
8031002702,"Central, Denver, CO",61087
8031001701,"Ballpark, Denver, CO",55027
8031002701,"Capitol Hill, Denver, CO",36077
8031003101,"Central, Denver, CO",26239
8031001800,"Central, Denver, CO",22670
8005004952,"Glendale, CO",21411
8031006804,"Southeast, Denver, CO",18901
8031003102,"Central, Denver, CO",17609
8005006858,"Denver Tech Center, Greenwood Village, CO",17235
8031003800,"East, Denver, CO",15357
8031005300,"South, Denver, CO",14841
8001008100,"Fitzsimons, Aurora, CO",14487
8059011733,"Union Square, Lakewood, CO",14418
8031004301,"East, Denver, CO",12441
8005006712,"Greenwood Village, CO",12106
8031015500,"East, Denver, CO",11996
8031002602,"Central, Denver, CO",11303
8031005104,"East, Denver, CO",11297
8005006501,"Littleton, CO",11117
8001008506,"Northglenn, CO",10455
8005005951,"Englewood, CO",9429
8031002802,"Central, Denver, CO",8895
8005081100,"City Center, Aurora, CO",8511
8031002000,"Central, Denver, CO",7980
8031000600,"Jefferson Park, Denver, CO",7868
8059011805,"South Alameda, Lakewood, CO",7812
8031001901,"Central, Denver, CO",7646
8031003703,"Central, Denver, CO",7230
8059009807,"Applewood West, Golden, CO",7147
8031002901,"Washington Park West, Denver, CO",7052
8031980100,"Montbello, Denver, CO",6620
8059011732,"Union Square, Lakewood, CO",6264
8005005551,"South, Denver, CO",5844
8031001600,"North, Denver, CO",5802
8059011401,"Edgewood, Lakewood, CO",5699
8031003004,"South, Denver, CO",5693
8031001000,"Valverde, Denver, CO",5634
8059010100,"East Old Golden Rd, Golden, CO",5603
8031006701,"Southeast, Denver, CO",5493
8059010405,"I-70 Corridor, Arvada, CO",5358
8031001102,"Highland, Denver, CO",5306
8031003902,"Cory - Merrill, Denver, CO",5217
8031003002,"Rosedale, Denver, CO",5160
8031001902,"Northwest, Denver, CO",5039
8005087100,"Dayton Triangle, Aurora, CO",5032
8031002100,"Central, Denver, CO",4985
8005080400,"Dam East/West, Aurora, CO",4981
8059010902,"Eiber, Lakewood, CO",4900
8005006000,"Englewood, CO",4866
8005005700,"Englewood, CO",4693
8059011904,"Lakewood, CO",4516
8005081000,"City Center North, Aurora, CO",4483
8001009407,"Westminster, CO",4444
8005006502,"Littleton, CO",4393
8005082000,"Centretech, Aurora, CO",4281
8001009203,"Thornton, CO",4257
8031004102,"East, Denver, CO",4179
8005080700,"Utah Park, Aurora, CO",3975
8059980000,"Denver, CO",3961
8031001401,"Ruby Hill, Denver, CO",3926
8031003202,"Cheesman Park, Denver, CO",3867
8001008709,"Commerce City, CO",3794
8031002801,"Alamo Placita, Denver, CO",3784
8005080500,"East Ridge - Ptarmigan Park, Aurora, CO",3768
8005080300,"Village East, Aurora, CO",3735
8005087000,"Dayton Triangle, Denver, CO",3707
8031002703,"Central, Denver, CO",3678
8059010000,"Kinney Runn, Golden, CO",3638
8059010406,"Arvada, CO",3555
8031000800,"Sun Valley, Denver, CO",3480
8005081400,"Heather Gardens, Aurora, CO",3479
8031006901,"Goldsmith, Denver, CO",3473
8059009831,"West Central Westminster, Westminster, CO",3463
8031001403,"Overland, Denver, CO",3459
8014031100,"Broomfield, CO",3432
8059011723,"Foothills, Lakewood, CO",3409
8059015800,"Applewood, Lakewood, CO",3389
8059011402,"Edgewood, Lakewood, CO",3363
8059011602,"North Alameda, Lakewood, CO",3260
8005086900,"Denver, CO",3106
8031001500,"Globeville, Denver, CO",3049
8031002403,"Five Points, Denver, CO",2953
8031005200,"East, Denver, CO",2943
8001009323,"Northglenn, CO",2937
8031007037,"East, Denver, CO",2935
8031006809,"Southeast, Denver, CO",2859
8031003500,"North, Denver, CO",2825
8031006813,"Southeast, Denver, CO",2818
8005005620,"Littleton, CO",2787
8059010402,"I-70 Corridor, Arvada, CO",2739
8005006200,"Englewood, CO",2730
8001009320,"Westminster, CO",2683
8031004101,"East, Denver, CO",2682
8059012054,"Governors Ranch, Littleton, CO",2659
8059011701,"Belmar Park, Lakewood, CO",2579
8031000402,"Highland, Denver, CO",2577
8005087300,"Denver, CO",2534
8031006812,"Southeast, Denver, CO",2525
8001009607,"Westminster, CO",2499
8005006854,"Greenwood Village, CO",2475
8059010603,"Barths, Wheat Ridge, CO",2445
8031003901,"Belcaro, Denver, CO",2434
8031003603,"North, Denver, CO",2410
8059011601,"North Alameda, Denver, CO",2408
8001008309,"Norfolk Glen, Aurora, CO",2392
8059011100,"Eiber, Lakewood, CO",2384
8031003001,"Platt Park, Denver, CO",2374
8031004005,"University Park, Denver, CO",2365
8001060200,"North Westminster, Denver, CO",2357
8001009553,"Denver, CO",2326
8014030300,"Broomfield, CO",2290
8005005552,"Englewood, CO",2287
8031002803,"Central, Denver, CO",2257
8031015400,"Northwest, Denver, CO",2193
8031006810,"Southeast, Denver, CO",2176
8031004107,"Northeast, Denver, CO",2131
8005006601,"Littleton, CO",2109
8031000303,"Northwest, Denver, CO",2097
